"idx_bd","n_curr","g"
1,1,0.809457022640753
1,11,0.775871499618662
1,21,0.895968235744024
1,31,1.11512265325396
1,41,1.10357768861704
1,51,1.14525323462614
1,61,1.15167113641691
1,71,1.13690585915927
1,81,1.19752581675378
1,91,1.19416820718689
1,101,1.18429628320266
1,111,1.15152318057095
1,121,1.13923975580698
1,131,1.15859623749549
1,141,1.15754980446018
1,151,1.16460435744726
1,161,1.15998558998601
1,171,1.19930170966332
1,181,1.19376974212586
1,191,1.17500374786477
1,201,1.1905171207148
1,211,1.18530274829611
1,221,1.17555759993378
1,231,1.18375628333511
1,241,1.19435264661934
1,251,1.19473946240825
1,261,1.19844419764657
1,271,1.19521992787851
1,281,1.19979648769027
1,291,1.20107394839252
1,301,1.19959996946682
1,311,1.21239585059033
1,321,1.20760073629193
1,331,1.21210254858453
1,341,1.20963171526311
1,351,1.20875943153008
1,361,1.20985283834532
1,371,1.22548738160743
1,381,1.23131209860864
1,391,1.22783580980858
1,401,1.22505751896568
1,411,1.22488664650702
1,421,1.21992030431008
1,431,1.21786012263225
1,441,1.21199711968621
1,451,1.21462425126526
1,461,1.21919664053577
1,471,1.22546887239702
1,481,1.23633181085411
1,491,1.22925095675713
1,501,1.22455094876688
1,511,1.22906214652384
1,521,1.2421935653018
1,531,1.23934808802872
1,541,1.23877808502145
1,551,1.23804223910582
1,561,1.23519370541942
1,571,1.24941285848561
1,581,1.25742991819617
1,591,1.25189571355675
1,601,1.24445649124808
1,611,1.23862899072361
1,621,1.23363222813512
1,631,1.23116623356995
1,641,1.2266737310924
1,651,1.23459322473825
1,661,1.23821047148945
1,671,1.23698667484441
1,681,1.23759641039003
1,691,1.23189776213116
1,701,1.24050241421598
1,711,1.24045505561921
1,721,1.2394406303948
1,731,1.2368182832356
1,741,1.23342377611609
1,751,1.23092746020568
1,761,1.23746431158334
1,771,1.24215613230295
1,781,1.23611961156761
1,791,1.23270350365032
1,801,1.23112226214212
1,811,1.23210062864798
1,821,1.23750229103547
1,831,1.23594373008945
1,841,1.23438083926832
1,851,1.23226516425389
1,861,1.2319544294475
1,871,1.22840418105523
1,881,1.23519773935057
1,891,1.23387746140804
1,901,1.23674046071335
1,911,1.23932898300037
1,921,1.23639538640511
1,931,1.23796451380126
1,941,1.23615294010277
1,951,1.2353914244879
1,961,1.23604816576599
1,971,1.23269525118437
1,981,1.22982679306873
1,991,1.23560211419357
1,1001,1.23559113893936
1,1011,1.23951063486439
1,1021,1.23731042795869
1,1031,1.23657143790093
1,1041,1.23904575634413
1,1051,1.23983198956445
1,1061,1.24025763549875
1,1071,1.2377164829634
1,1081,1.24288090776479
1,1091,1.24258786974259
1,1101,1.24011335530157
1,1111,1.23922857923931
1,1121,1.23634704970962
1,1131,1.23660603360731
1,1141,1.23872962740728
1,1151,1.24247419419706
1,1161,1.24195617442102
1,1171,1.2401972502623
1,1181,1.2402013218568
1,1191,1.24658401398755
1,1201,1.24469129498486
1,1211,1.24318683333303
1,1221,1.24248075897666
1,1231,1.24147249603708
1,1241,1.24246100150071
1,1251,1.24412119245666
1,1261,1.24433161683019
1,1271,1.24490417415007
1,1281,1.24356520199904
1,1291,1.24483664671292
1,1301,1.24125912248108
1,1311,1.24134331737827
1,1321,1.23884438192001
1,1331,1.23645469150318
1,1341,1.2380161551259
1,1351,1.24018837700769
1,1361,1.23795637416559
1,1371,1.23861544610955
1,1381,1.2393569900291
1,1391,1.23702509527911
1,1401,1.23880260170006
1,1411,1.24363722557229
1,1421,1.24416717613428
